Brand Name,Category,Subcategory,Website,Contact Email,Instagram Handle,LinkedIn URL,Notes,Status
Notion,Apps,Productivity,notion.so,team@makenotion.com,@notionhq,linkedin.com/company/notionhq,Note-taking and workspace app - huge UGC presence,Prospect
Todoist,Apps,Productivity,todoist.com,support@todoist.com,@todoist,linkedin.com/company/doist,Task management - works with creators,Prospect
ClickUp,Apps,Productivity,clickup.com,marketing@clickup.com,@clickup,linkedin.com/company/clickup,Project management - active influencer program,Prospect
Monday.com,Apps,Productivity,monday.com,partnerships@monday.com,@mondaydotcom,linkedin.com/company/monday,Work OS - big marketing budget,Prospect
Asana,Apps,Productivity,asana.com,marketing@asana.com,@asana,linkedin.com/company/asana,Project management - enterprise focus,Prospect
Calendly,Apps,Productivity,calendly.com,partnerships@calendly.com,@calendly,linkedin.com/company/calendly,Scheduling app - great for GenX professionals,Prospect
Slack,Apps,Productivity,slack.com,press@slack.com,@slackhq,linkedin.com/company/slack,Business communication - Salesforce owned,Prospect
Zoom,Apps,Productivity,zoom.us,pr@zoom.us,@zoom,linkedin.com/company/zoom,Video conferencing - household name,Prospect
Loom,Apps,Productivity,loom.com,hello@loom.com,@laborofloom,linkedin.com/company/laborofloom,Video messaging - creator friendly,Prospect
Canva,Apps,Productivity,canva.com,press@canva.com,@canva,linkedin.com/company/canva,Design tool - works with UGC creators,Prospect
Evernote,Apps,Productivity,evernote.com,press@evernote.com,@evernote,linkedin.com/company/evernote,Note-taking - established brand,Prospect
Trello,Apps,Productivity,trello.com,press@trello.com,@trello,linkedin.com/company/trello,Kanban boards - Atlassian owned,Prospect
Airtable,Apps,Productivity,airtable.com,press@airtable.com,@airtable,linkedin.com/company/airtable,Database/spreadsheet hybrid,Prospect
Miro,Apps,Productivity,miro.com,press@miro.com,@mirohq,linkedin.com/company/mirohq,Whiteboard collaboration,Prospect
Figma,Apps,Productivity,figma.com,press@figma.com,@figma,linkedin.com/company/figma,Design tool - Adobe owned,Prospect
Linear,Apps,Productivity,linear.app,hello@linear.app,@linear,linkedin.com/company/linearapp,Issue tracking - startup darling,Prospect
Coda,Apps,Productivity,coda.io,press@coda.io,@caborahq,linkedin.com/company/coda,Doc/app hybrid,Prospect
Grammarly,Apps,Productivity,grammarly.com,press@grammarly.com,@grammarly,linkedin.com/company/grammarly,Writing assistant - big influencer program,Prospect
Superhuman,Apps,Productivity,superhuman.com,press@superhuman.com,@superhuman,linkedin.com/company/superhuman,Premium email client,Prospect
Obsidian,Apps,Productivity,obsidian.md,support@obsidian.md,@obaboraian1kb,linkedin.com/company/obsidianmd,Knowledge base - cult following,Prospect
Bear,Apps,Productivity,bear.app,support@bear.app,@bearnotesapp,linkedin.com/company/bear-notes,Note-taking - Apple ecosystem,Prospect
Things 3,Apps,Productivity,culturedcode.com,info@culturedcode.com,@culturedcode,linkedin.com/company/cultured-code,Task manager - Apple ecosystem,Prospect
Fantastical,Apps,Productivity,flexibits.com,support@flexibits.com,@flexibits,linkedin.com/company/flexibits,Calendar app - premium,Prospect
Spark,Apps,Productivity,sparkmailapp.com,support@readdle.com,@sparkaboritapp,linkedin.com/company/readdle,Email client - Readdle,Prospect
1Password,Apps,Security,1password.com,press@1password.com,@1password,linkedin.com/company/1password,Password manager - security focused,Prospect
Dashlane,Apps,Security,dashlane.com,press@dashlane.com,@dashlane,linkedin.com/company/dashlane,Password manager with VPN,Prospect
NordVPN,Apps,Security,nordvpn.com,press@nordvpn.com,@nordvpn,linkedin.com/company/nordvpn,VPN - huge influencer budget,Prospect
NordPass,Apps,Security,nordpass.com,press@nordpass.com,@nordpass,linkedin.com/company/nordpass,Password manager - Nord family,Prospect
ExpressVPN,Apps,Security,expressvpn.com,press@expressvpn.com,@expressvpn,linkedin.com/company/expressvpn,VPN - premium tier,Prospect
Surfshark,Apps,Security,surfshark.com,press@surfshark.com,@surfshark,linkedin.com/company/surfshark,VPN - value option,Prospect
ProtonVPN,Apps,Security,protonvpn.com,press@protonvpn.com,@protonvpn,linkedin.com/company/protonvpn,Privacy-focused VPN,Prospect
ProtonMail,Apps,Security,proton.me,press@proton.me,@proaboranmail,linkedin.com/company/protonmail,Encrypted email,Prospect
Bitwarden,Apps,Security,bitwarden.com,hello@bitwarden.com,@bitwarden,linkedin.com/company/bitwarden,Open source password manager,Prospect
LastPass,Apps,Security,lastpass.com,press@lastpass.com,@lastpass,linkedin.com/company/lastpass,Password manager - established,Prospect
Keeper,Apps,Security,keepersecurity.com,press@keepersecurity.com,@keepersecurity,linkedin.com/company/keeper-security,Password manager - enterprise,Prospect
Norton,Apps,Security,norton.com,press@nortonlifelock.com,@norton,linkedin.com/company/nortonlifelock,Antivirus - household name,Prospect
McAfee,Apps,Security,mcafee.com,press@mcafee.com,@mcafee,linkedin.com/company/mcafee,Antivirus - established brand,Prospect
Malwarebytes,Apps,Security,malwarebytes.com,pr@malwarebytes.com,@malwarebytes,linkedin.com/company/malwarebytes,Anti-malware,Prospect
Authy,Apps,Security,authy.com,support@authy.com,@auaborahyapp,linkedin.com/company/authy,2FA app - Twilio,Prospect
Aura,Apps,Security,aura.com,press@aura.com,@aaborara_hq,linkedin.com/company/aura-company,Identity protection,Prospect
Calm,Apps,Health,calm.com,press@calm.com,@calm,linkedin.com/company/calm,Meditation app - market leader,Prospect
Headspace,Apps,Health,headspace.com,press@headspace.com,@headspace,linkedin.com/company/headspace,Meditation - big brand,Prospect
Noom,Apps,Health,noom.com,press@noom.com,@noom,linkedin.com/company/noom,Weight loss - heavy UGC spend,Prospect
MyFitnessPal,Apps,Health,myfitnesspal.com,press@myfitnesspal.com,@myfitnesspal,linkedin.com/company/myfitnesspal,Calorie tracking,Prospect
Whoop,Apps,Health,whoop.com,press@whoop.com,@whoop,linkedin.com/company/whoop,Fitness wearable - premium,Prospect
